VFD-MS300|1.05|  9.00A|460V| 5  HP|32|15|50|70|83|74|69|75|93|76|29|92|53|42|0|99|83|
Check    |Pr. No   |MODBUS   |Description     |Unit     |Data     |Default  |Min      |Max      |Attribute|Address  |Dot      |Attribute|
X        |*****    |*****    |0 - SYSTEM PARAMETER|*****    |*****    |*****    |*****    |*****    |*****    |*****    |*****    |         |
X        |00-00    |0000H    |Identity Code    |####     |407      |0        |0        |65535    |Read-Only|0000     |0        |25609    |
X        |00-01    |0001H    |Rated Current    |Amps     |9.00     |0.00     |0.00     |655.35   |Read-Only|0001     |2        |16921    |
X        |00-02    |0002H    |Parameter Reset  |####     |0        |0        |0        |10       |Writable |0002     |0        |24593    |
X        |00-03    |0003H    |Start up Display |####     |0        |0        |0        |3        |Writable |0003     |0        |8210     |
X        |00-04    |0004H    |User Display     |####     |3        |3        |0        |49       |Writable |0004     |0        |8211     |
X        |00-05    |0005H    |H page scale     |####     |0.00     |0.00     |0.00     |160.00   |Writable |0005     |2        |530      |
X        |00-06    |0006H    |Firmware Version |####     |1.05     |1.05     |0.00     |655.35   |Read-Only|0006     |2        |16920    |
X        |00-07    |0007H    |Password Decoder |####     |0        |0        |0        |65535    |Writable |0007     |0        |2        |
X        |00-08    |0008H    |Password Input   |####     |0        |0        |0        |65535    |Writable |0008     |0        |2        |
X        |00-09    |0009H    |Reserved         |####     |0000H    |0000H    |0000H    |FFFFH    |Read-Only|0009     |0        |1114     |
X        |00-10    |000AH    |Control Method   |####     |0        |0        |0        |2        |Writable |000A     |0        |8208     |
X        |00-11    |000BH    |Velocity Mode    |####     |0        |0        |0        |6        |Writable |000B     |0        |8208     |
X        |00-12    |000CH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|000C     |0        |32776    |
X        |00-13    |000DH    |Reserved         |####     |0        |0        |0        |0        |Read-Only|000D     |0        |32776    |
X        |00-14    |000EH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|000E     |0        |32776    |
X        |00-15    |000FH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|000F     |0        |32776    |
X        |00-16    |0010H    |Duty Selection   |####     |1        |1        |0        |1        |Writable |0010     |0        |8208     |
X        |00-17    |0011H    |Carry Frequency  |KHz      |4        |4        |2        |15       |Writable |0011     |0        |17       |
X        |00-18    |0012H    |Phase identify   |####     |0        |0        |0        |1        |Read-Only|0012     |0        |25609    |
X        |00-19    |0013H    |PLC CMD Mask     |####     |0000H    |0000H    |0000H    |FFFFH    |Read-Only|0013     |0        |16472    |
X        |00-20    |0014H    |Source of FREQ   |####     |7        |0        |0        |8        |Writable |0014     |0        |8210     |
X        |00-21    |0015H    |Source of OPER   |####     |0        |0        |0        |5        |Writable |0015     |0        |8210     |
